title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
全新 RCB S 系列特氟龙刹车软管,950毫米银色,55.83,https://cf.shopee.ph/file/ph-11134207-7ras9-m0mffjc1hx0u3a,http://shopee.ph/product/282390619/28759621237,摩托车零配件,制动系统,IVCN2025091213496,138058922653,相似款：https://detail.1688.com/offer/983200882590.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,28759621237,55.83,,9
PWK 平顶化油器（带内底），V2 进气歧管 24 26 28 30 32 34 | 透明杯式化油器,28,54.44,https://cf.shopee.vn/file/vn-11134207-7ras8-mdevnvreczide4,http://shopee.vn/product/60295352/22269456349,摩托车零配件,燃油系统,IVCN202512197221,137624259728,https://detail.1688.com/offer/967193368264.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17666554715753221e1088&token=4My1dJ1CVB24WsymyJ%2F7mKZ3HDt%2Fhd1Y2FRUtYiTIIl2CLGvCEBtqrAeCt3aP7Cr,P1,2026/3/15,22269456349,54.44,最后一周,1
【次日送达】适用于雅马哈 SZ SZ16 SZ 16 SZR 150cc v1 v2 v3 XC115 化油器双线,【次日送达】适用于雅马哈 SZ SZ16 SZ 16 SZR 150cc v1 v2 v3 XC115 化油器双线,54.21,https://cf.shopee.ph/file/ph-11134207-7rasm-m2m6r2g1lfjme0,http://shopee.ph/product/634156233/25709128374,摩托车零配件,燃油系统,IVCN2026011514910,157179661903,相似款：https://detail.1688.com/offer/758916245843.html?spm=a26352.b28411319.offerlist.6.11ff1e62l1fqSu,P1,2026/3/15,25709128374,54.21,最后一周,1
NGO SWING ARM PLUS2/PLUS3 SWING ARM WAVE125 XRM/TMX155 GD110 Alloy 泰国制造,加2,54.01,https://cf.shopee.ph/file/sg-11134201-824gm-mff036et9d6x72,http://shopee.ph/product/148683948/14292033540,摩托车零配件,车轮、轮辋及配件,IVCN2025073026435,126637110437,相似款：https://detail.1688.com/offer/782057316427.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,14292033540,54.01,最后一周,1
ESR赛车气门弹簧和气门座弹簧,LC135 2.8毫米,50.57,https://cf.shopee.com.my/file/my-11134207-7r992-lqcu9wt61yri0b,http://shopee.com.my/product/182228843/7510937482,摩托车零配件,其他的,IVCN202510143597,11531250599,相似款：https://detail.1688.com/offer/985042410008.html?spm=a26352.b28411319.offerlist.169.2dc81e62aTX04d,P1,2026/3/15,7510937482,53.76,,10
ESR赛车气门弹簧和气门座弹簧,LC135 3.0mm,53.76,https://cf.shopee.com.my/file/my-11134207-7r992-lqcu9wt61yri0b,http://shopee.com.my/product/182228843/7510937482,摩托车零配件,其他的,IVCN202510143597,11531250601,相似款：https://detail.1688.com/offer/985042410008.html?spm=a26352.b28411319.offerlist.169.2dc81e62aTX04d,P1,2026/3/15,7510937482,53.76,,10
LC135 V4 V5 V6 V7 内盖套件 100% 原装 HONG LEONG YAMAHA 55D-F8400-10 全套完成,LC135 V4-V7,53.49,https://cf.shopee.com.my/file/my-11134201-23030-5nzdxsogmhovf2,http://shopee.com.my/product/450088550/22831027985,摩托车零配件,车身及车架,IVCN2025112529140,231201832071,https://detail.1688.com/offer/674137504281.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,22831027985,53.49,,1
ESR电机CNC合金轮毂链轮，适用于Y15/Y16和LC5s,Y15/ Y16 /LC5s 中心,52.08,https://cf.shopee.com.my/file/my-11134207-7r98x-llyu2eijtplf2d,http://shopee.com.my/product/182228843/23355637357,摩托车零配件,轮胎及配件,IVCN202509151433,207050559851,相似款：https://detail.1688.com/offer/979011569672.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/3/15,23355637357,52.08,,1
RCB合金刹车手柄，仅适用于S3 Raider 150 FI！(❌不适用于2022/2023款MFX系列及更新车型❌),银,51.66,https://cf.shopee.ph/file/ph-11134207-7r98v-lyolghse8q2m89,http://shopee.ph/product/282390619/17009410920,摩托车零配件,车身及车架,IVCN202512194739,152636149962,相似款：https://detail.1688.com/offer/842382180323.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,17009410920,51.66,最后一周,1
【制造商】Royal M139 3/4头盔，简洁设计，带一体式镜片，正品，有色镜片，防眩光，防紫外线,3/4 - 薄荷绿，大号（55厘米 - 57厘米）,50.85,https://cf.shopee.vn/file/vn-11134207-7ras8-mblt5gnx61k02d,http://shopee.vn/product/473954625/6194975727,摩托车头盔及配件,,IVCN2025111458033,270561422709,相似款：https://detail.1688.com/offer/758567878100.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i55&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,6194975727,50.85,最后一周,5
【制造商】Royal M139 3/4头盔，简洁设计，带一体式镜片，正品，有色镜片，防眩光，防紫外线,3/4 - 哑光黑，L 码（55 厘米 - 57 厘米）,23.84,https://cf.shopee.vn/file/vn-11134207-7ra0g-m6f61veu9ug747,http://shopee.vn/product/473954625/6194975727,摩托车头盔及配件,,IVCN2025111458033,93564299824,相似款：https://detail.1688.com/offer/727143194950.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2132815517633608021347001e0f2a&token=RbljJGnemyhUfJmcG7Xs3Yl427a9%2FSm0Q%2FE%2FbJBuo%2FTDCcjzcvuOa%2FiAdsajTV%2Br,P1,2026/3/15,6194975727,50.85,,5
化油器踏板车化油器铃木 Skydrive 化油器 Sky Drive Skydrive 125 原装 13200-41h10-000,化油器踏板车化油器铃木 Skydrive 化油器 Sky Drive Skydrive 125 原装 13200-41h10-000,50.33,https://cf.shopee.ph/file/ph-11134207-7rask-m2uftl7wnncv74,http://shopee.ph/product/634156233/20104663292,摩托车零配件,燃油系统,IVCN2025073026470,190262405893,相似款：https://detail.1688.com/offer/684766375140.html?spm=a26352.b28411319.offerlist.11.33f61e62R8hMgq,P1,2026/3/15,20104663292,50.33,,1
OFF-X 防水双层通用摩托车外骨骼箱 Motorbox Belakang Box Siput,钛灰色,49.76,https://cf.shopee.com.my/file/my-11134207-7rasf-maobewshjjje3d,http://shopee.com.my/product/72791218/24835224911,摩托车配件,盒子和箱子,IVCN2026011510387,226836311047,https://detail.1688.com/offer/937844275991.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,24835224911,49.76,最后一周,1
✔️Mio Soul/ Mio 4 115 化油器型 14D 原装雅马哈,邦加阿拉罗灵魂,49.27,https://cf.shopee.ph/file/ph-11134207-7qukw-letq0yo37vv2bf,http://shopee.ph/product/394609303/22634912595,摩托车零配件,车身及车架,IVCN2025112528366,221338429022,无同款,P0,2026/3/15,22634912595,49.27,最后一周,1
适用于 Winner、Sonic、Exciter 150 和 Vario 的 Redleo 原装 TPS 油门传感器。,获胜者/索尼克,49.07,https://cf.shopee.vn/file/vn-11134207-7ras8-m48s9s0x5ze830,http://shopee.vn/product/138321753/25472770097,摩托车零配件,点火和发动机部件,IVCN2025121913313,257350720727,无同款,P0,2026/3/15,25472770097,49.07,,1
5XK-H4710-30-SP | Y125 尾灯总成（不含灯泡）（100% 原装雅马哈 HONG LEONG）,5XK-H4710-30-SP | Y125 尾灯总成（不含灯泡）（100% 原装雅马哈 HONG LEONG）,48.95,https://cf.shopee.com.my/file/my-11134207-7rash-m7q6sxaj7ufh3e,http://shopee.com.my/product/575064322/27080652786,摩托车零配件,灯光,IVCN202601154505,215913677132,无同款,P1,2026/3/15,27080652786,48.95,最后一周,1
Bajaj Rouser NS 200 NS200 摩托车化油器,Bajaj Rouser NS 200 NS200 摩托车化油器,48.52,https://cf.shopee.ph/file/cn-11134207-7r98o-lz8wuqrfih6b10,http://shopee.ph/product/139042172/8188325457,摩托车零配件,燃油系统,IVCN202512192811,84092166491,https://detail.1688.com/offer/996923842271.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,8188325457,48.52,最后一周,1
ACES R1 开放式头盔，带 Siap 防烟面罩 Topi Keledar SIRIM 批准,哑光黑,48.52,https://cf.shopee.com.my/file/my-11134207-7qul8-lh61824riqb1c1,http://shopee.com.my/product/132531093/6742549435,摩托车头盔及配件,,IVCN2025112514306,60318087407,相似款：https://detail.1688.com/offer/977944233911.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,6742549435,48.52,最后一周,1
拖拽之王链轮组链条组 Xrm Smash Raider150 Sniper150 Sniper155,狙击手155-47T-14T130,48.44,https://cf.shopee.ph/file/ph-11134207-7ras8-m0fasltdtero85,http://shopee.ph/product/865038122/18096664571,摩托车零配件,传动系统、变速器和离合器,IVCN202508278371,205409546274,相似款：https://detail.1688.com/offer/978932088071.html?spm=a26352.13672862.offerlist.90.2f8829915Sbswd&offerId=978932088071&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=6e680263bb964df4b5e871816d2fc6fe&skuId=5932449148830&forcePC=1763004294390,P1,2026/3/15,18096664571,48.44,,3
拖拽之王链轮组链条组 Xrm Smash Raider150 Sniper150 Sniper155,狙击手155-48T-14T136,38.74,https://cf.shopee.ph/file/ph-11134207-7ras8-m0fasltdtero85,http://shopee.ph/product/865038122/18096664571,摩托车零配件,传动系统、变速器和离合器,IVCN202508278371,205409546273,无同款,P0,2026/3/15,18096664571,48.44,,3
拖拽之王链轮组链条组 Xrm Smash Raider150 Sniper150 Sniper155,R150NEW 43T-14T,27.02,https://cf.shopee.ph/file/ph-11134207-7ras8-m0fasltdtero85,http://shopee.ph/product/865038122/18096664571,摩托车零配件,传动系统、变速器和离合器,IVCN202508278371,205409546268,无同款,P0,2026/3/15,18096664571,48.44,,3
HIRC钟形壳体咔嗒声 125/150/nmax Aerox,点击 pcx adv,48.24,https://cf.shopee.ph/file/ph-11134207-7r98p-lttcdi1oxkeb01,http://shopee.ph/product/304073451/24372749428,摩托车零配件,传动系统、变速器和离合器,IVCN202508270911,233678243176,链接失效,P0,2026/3/15,24372749428,48.24,,3
CNC气缸体WAVE125 57mm！,CNC气缸体WAVE125 57mm！,48,https://cf.shopee.ph/file/90a6a98ff965dfb116d6c1315918c13f,http://shopee.ph/product/287163330/6945278559,摩托车零配件,点火和发动机部件,IVCN202601155489,70517780541,相似款：https://detail.1688.com/offer/44689938687.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/3/15,6945278559,48,最后一周,1
雅马哈💯原装B17-F8400-00 Y15ZR V2车身内饰套件内盖套件,雅马哈💯原装B17-F8400-00 Y15ZR V2车身内饰套件内盖套件,47.91,https://cf.shopee.com.my/file/my-11134207-7r98x-lv0nhutngmrcd5,http://shopee.com.my/product/1053624303/25379022162,摩托车零配件,车身及车架,IVCN2025111482953,245782904248,相似款：https://detail.1688.com/offer/895064359134.html?spm=a26352.b28411319.offerlist.27.58491e62tltk8e,P1,2026/3/15,25379022162,47.91,最后一周,1
GSADV 机架 Lipat 不锈钢 Yamaha Y15 Y16 电机箱 Petak 镀铬可调单机架 Yamaha LC V2-V8 Offx Param,Y15 / LC V8,46.84,https://cf.shopee.com.my/file/my-11134207-7rasb-m8cz4l2kp28e95,http://shopee.com.my/product/1148751271/19187276891,摩托车配件,盒子和箱子,IVCN2025112529594,237071286089,https://detail.1688.com/offer/954535301110.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,19187276891,46.84,,1
雅马哈 AEROX V3 标准版 2025 浅蓝色/釉蓝色/白色 备件 整流罩 挡泥板盖板,第 2 部分（右）,46.8,https://cf.shopee.ph/file/ph-11134207-81ztp-mendj41vjim831,http://shopee.ph/product/61672924/40368949979,摩托车零配件,车身及车架,IVCN2025112531026,253894310023,https://detail.1688.com/offer/931671789617.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,40368949979,46.8,最后一周,4
雅马哈 AEROX V3 标准版 2025 浅蓝色/釉蓝色/白色 备件 整流罩 挡泥板盖板,整流罩 1 (L),11.56,https://cf.shopee.ph/file/ph-11134207-81zto-mendj41dbjerc3,http://shopee.ph/product/61672924/40368949979,摩托车零配件,车身及车架,IVCN2025112531026,253894310020,相似款：https://detail.1688.com/offer/951747961701.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,40368949979,46.8,最后一周,4
雅马哈 AEROX V3 标准版 2025 浅蓝色/釉蓝色/白色 备件 整流罩 挡泥板盖板,整流罩 2 (R),11.48,https://cf.shopee.ph/file/ph-11134207-81ztp-mendj4150cg45a,http://shopee.ph/product/61672924/40368949979,摩托车零配件,车身及车架,IVCN2025112531026,253894310021,相似款：https://detail.1688.com/offer/951747961701.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/3/15,40368949979,46.8,最后一周,4
CNC 大圆盘 260mm Beat Click Mio scoopy genio rkr 浮动 galfer,设置，点击 5H，260mm，浮动，CNC,46.7,https://cf.shopee.ph/file/ph-11134207-7ras8-m13pnyy7utkje9,http://shopee.ph/product/50106124/29262122371,摩托车零配件,制动系统,IVCN2025121921093,197862312049,相似款：https://detail.1688.com/offer/981316930793.html?kj_agent_plugin=aliprice&fromkv=xytTrace:1,P1,2026/3/15,29262122371,46.7,最后一周,3
Mutarru 离合器衬片组件 Click/PCX/Aerox/Adv/Mio/Gear/Gravis/Fazzio/Nmax,点击125/150,46.39,https://cf.shopee.ph/file/ph-11134207-7rasg-m9b8z58y20m6a6,http://shopee.ph/product/915352500/27335862010,摩托车零配件,传动系统、变速器和离合器,IVCN2025112516367,188497343816,https://detail.1688.com/offer/976622781105.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,27335862010,46.39,最后一周,1
KCL-RXR 摩托车全盔 单黑色镜片 仅限大号 安全头盔 型号：558 和 558-1,白色粉色，大号,46.35,https://cf.shopee.ph/file/ph-11134207-7rasg-m7rpu0h617z234,http://shopee.ph/product/267793258/27730795942,摩托车头盔及配件,,IVCN2025121917872,195917898215,相似款：https://detail.1688.com/offer/694908361789.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,27730795942,46.35,,4
KCL-RXR 摩托车全盔 单黑色镜片 仅限大号 安全头盔 型号：558 和 558-1,白色蒂芙尼蓝，大号,45.35,https://cf.shopee.ph/file/ph-11134207-7rasj-m7rptovl0azi77,http://shopee.ph/product/267793258/27730795942,摩托车头盔及配件,,IVCN2025121917872,195917898214,相似款：https://detail.1688.com/offer/694908361789.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,27730795942,46.35,,4
KCL-RXR 摩托车全盔 单黑色镜片 仅限大号 安全头盔 型号：558 和 558-1,黑色，大号,27.51,https://cf.shopee.ph/file/ph-11134207-7rasa-m7rpceyp3qk96b,http://shopee.ph/product/267793258/27730795942,摩托车头盔及配件,,IVCN2025121917872,195917898207,相似款：https://detail.1688.com/offer/694908361789.html?spm=a26352.b28411319/2508.0.0,P1,2026/3/15,27730795942,46.35,,4
HIRC离合器蹄片 NMAX/AEROX/PCX/M3/CLICK/mio,Nmax Aerox m3,42.85,https://cf.shopee.ph/file/ph-11134207-7rasb-m1ctdgtqdssf37,http://shopee.ph/product/304073451/24175064789,摩托车零配件,传动系统、变速器和离合器,IVCN202508275093,246773891428,链接失效,P0,2026/3/15,24175064789,46.35,,3
HIRC离合器蹄片 NMAX/AEROX/PCX/M3/CLICK/mio,点击 pcx adv,46.35,https://cf.shopee.ph/file/ph-11134207-7rasb-m1ctdgtqdssf37,http://shopee.ph/product/304073451/24175064789,摩托车零配件,传动系统、变速器和离合器,IVCN202508275093,246773891427,无同款,P0,2026/3/15,24175064789,46.35,,3
Pitsbike 钻石曲轴轴承 C3 wave125 xrm110 / mio / raider150 / Sniper150 / Aerox / Click,曲轴轴承 C3，Mio sporty,46.14,https://cf.shopee.ph/file/3d56f8fa6cd98ffa52a5ce834b2443ba,http://shopee.ph/product/169498636/20828438275,摩托车零配件,传动系统、变速器和离合器,IVCN202510146109,191471623706,无同款,P0,2026/3/15,20828438275,46.14,,2
